新闻标题,新闻内容
江苏：征求志愿怎样设置？如何填报征求志愿？,征求志愿怎样设置？每批次平行院校志愿录取结束后，省教育考试院将通过市、县（市、区）招办、江苏省教育考试院门户网、志愿填报网、新闻媒体等渠道，及时向考生、社会提供考生录取情况和未完成招生计划的高校、专业及招生人数等信息，为考生提供查询服务。各批次志愿录取结束后，设置征求志愿，征求志愿设置与相应批次志愿设置一致。未被录取且符合相应批次填报征求志愿条件的考生，须按省教育考试院规定的时间自行上网填报征求志愿。征求志愿如何填报？填报征求志愿须进行以下操作：1.考生须在规定时间内凭考籍号、身份证号、密码和动态口令卡登录志愿填报服务系统（gkzy.jseea.cn）填报征求志愿，并对自己所填报信息的真实性和准确性负责，不需要现场签字确认志愿信息。2.如下图所示，登录志愿填报服务系统后，点击志愿正式填报图标，选择填报批次；3.对照省教育考试院官网（www.jseea.cn）或“江苏招生考试”微信公众号发布的征求志愿计划，在填报页面手工输入院校专业组代号，并选择专业。4.考生填报的志愿信息网上提交成功后，志愿即有效。在填报志愿截止时间前，考生可修改自己的志愿信息；填报志愿时间截止后，任何人不得更改考生志愿信息。提醒：考生填报志愿须认真查阅拟填报院校的《招生章程》，详细了解院校专业组的报考要求和录取规则等，防止因单科成绩、身体条件（如：色觉）等不符合报考院校的招生要求而被院校退档，如由此类问题产生不利影响，由考生本人负责。
填报高职专科志愿，4个事项请特别注意！,近期，各地高考本科录取已进入尾声，高职专科填报志愿、集中录取正在进行中。打算填报高职专科院校的考生们要注意哪些填报政策、关注哪些填报细节呢？希望这篇文章对你有所帮助。1.注意专科批次政策。考生在填报专科志愿之前要先了解一下专科批志愿设置和填报要求，如专科提前批、专科艺术类、专科普通批的投档方式和志愿数量等。考生填报志愿前，要知晓自己所在类别的志愿设置和相应投档录取规则，比如哪些批次是顺序志愿，哪些是实行平行志愿，哪些科类不能兼报的，做到知己知彼，心中有数。2.注意拉开梯度，服从专业调剂。目前各省专科普通批大多实行平行志愿，可填报的志愿从十几个到几十个不等。平行志愿一般的逻辑是前几个志愿“冲”，中间段大部分志愿“稳”，后面选择几个“保”，“冲、稳、保”选择院校的办法还是可以使用的，同时，适当拉开填报志愿的梯度，并尽可能选择“服从专业调剂”。考生在填报志愿时，一定要参考你省当年下发的《普通高校招生专业目录》（专科部分）、《全国普通高校招生录取分数分布统计》和本省分数段分布统计等资料，综合参考填报志愿。3.注意报考特殊要求。和本科批一样，专科提前批中部分院校也需要提前面试或有单科成绩要求。比如填报军队、公安、消防类院校志愿，考生须参加相应院校组织的面试、政治考察和体检等，报考时一定要注意如不符合相应要求，不要填报相关志愿。另外，考生还要看清院校招生专业要求，哪些专业对身体条件有要求，哪些不招色盲、色弱考生，哪些院校有单科成绩、外语语种限制等，请考生认真比对自身情况，选报适合自己的院校和专业。4.注意补录或征集志愿信息。征集志愿安排在各批次院校志愿录取完毕后进行。若各批次院校按规定投档后仍出现不满额的情况，未被录取的考生可以按省招生考试院规定的补报志愿时间，凭本人准考证号和密码登录网上填报志愿页面，进行网上补报志愿。网上征集志愿的具体时间，请考生及时关注省招生考试院主页发布的相关信息。(作者：刘京艳)本文版权归教育部阳光高考信息平台所有，转载请注明来源。
沪考心语 | 尽早酝酿专科志愿填报,文/上海市教育考试院刘玉祥时间来到7月底，本科录取接近尾声。2021届上海考生总体获得感比较强，截至本科普通批第一次征求志愿结束，大部分考生已经顺利实现本科录取，成为个人小宇宙里的“YYDS”。高考成绩达到385分的1000多名未录取考生，如果还有本科憧憬，就不要放弃降分征求志愿的机会。仔细检索各校缺额计划汇总表，充分填报第二次征求志愿，或能由此踏上通向本科录取的末班车。专科无缘本科的大部分考生会考虑专科。虽然志愿填报要到8月3日才正式启动，但此前数日不宜荒废，专科志愿也需认真酝酿。多年经验和2021年本科已录信息提示，预计最终选择填报专科志愿的考生人数最多4000来人。而已经公布的专科计划总数达到4900个，意味着如果认真填报、不挑不拣，肯定能够确保每位符合专科录取要求的考生都能大学圆梦。专科填报志愿只看语数外三科成绩，超过300分属于可以任挑志愿的高分考生，达到250分上下也能算作专科队伍里的佼佼者。总分不到100分者不具专科志愿填报资格，只能等待10月份高职扩招升学机会的到来。1.专科录取设提前批、艺体批、普通批三个招生批次。6所院校参与提前批招生，合计公布近250个招生计划；30所院校参与艺体批招生，合计公布700多个招生计划；普通批是大头，92所院校参与招生，合计公布将近4000个招生计划。和本科阶段一样，专科提前批和专科艺体批之间不能兼报，填报专科艺体批还需要具备专业统考或校考合格成绩。2.专科提前批执行顺序志愿，允许考生最多选择两所院校进行填报。由于提前批专业就业前景明朗，每年都有超过计划数3到4倍的考生踊跃报考。有志于将来从事空中乘务、乡村医生、院前急救、学前教育、邮政管理等工作的考生不妨赶紧研究相关院校的招生说明。不过需要说明的是，部分学校设置了提前审核或者户籍限定的准入条件，符合要求的考生方具填报资格。3.专科艺体批是艺体生专有的志愿空间，设有8个平行志愿。本科落榜的艺体生多有艺体情结，大部分仍会选择专科阶段继续填报艺体志愿。有意填报的考生需要在美术与设计学类、编导类、表演类、播音与主持艺术类、音乐学类（声乐、器乐分开）、校考类或体育类中选定一个类别，填报办法与本科阶段一致。除了美术与设计学类，别的类别招生院校稀少，填报时候无需纠结，看得中的全部可以体现在志愿表中。艺体生也有填报普通批志愿权利，建议相关考生要把两个批次志愿联动考虑。若是感觉依据本人文化成绩能够录取普通批里的理想院校和专业，可以放弃艺体志愿，或者择优有限填报。4.专科普通批是所有考生都要重视的批次，即使有较大把握录取提前批或艺体批，也应认真填报普通批志愿。普通批8个平行志愿说少不少，说多也不多，必须“精打细算”有效使用。上海本地公办本科大学所设专科最受考生青睐，录取要求也相对偏高，一般来说需要具有排名1000名之内的实力。排名2000名开外的考生可以使用个别志愿表达更高追求，但多数志愿应当围绕民办本科大学所设专科或者公办高职。排名4000名左右的考生更要降低期望、脚踏实地，主攻目标应当围绕民办高职。外省市专科总量不多，但也不乏超值选择，因此不宜漠然无视，倘有中意院校也应列入候选对象。5.一定要根据兴趣和能力选择专业，并且考虑是否愿意将来据此就业。最喜爱的专业应当填在所选院校志愿的第一个专业志愿位置，其他专业按照本人接受程度降序填报。不少院校的相同专业在不同年份的最低录取分浮动较大，与其花费心思甄别分数高低，还不如直接按照意愿逐一填报。选择专业需要对照自己身体条件，不符要求的千万不要填报。6.上海高职院校开设的高本贯通专业非常诱人，填报之前应当看清备注说明，单科成绩不到填了也是白填。锚定高本贯通的考生不要简单参考所在院校的往年最低录取分，高出一定分值才有较大成功把握。
山西：2021年普通高校招生网上填报志愿（第四段）公告,一、填报时间8月4日8:00时—8月5日18:00时。二、填报批次及志愿设置本段填报第二批本科C类文史类、理工类及艺术类、体育类院校志愿；高本贯通院校志愿；提前录取的专科（高职）公安院校、艺术类院校及其它院校志愿。第二批本科C类文史类、理工类院校，考生可填报8个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿；第二批本科C类艺术（美术类）、体育类院校，考生可填报8个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿；第二批本科C类艺术类（美术类除外）院校，考生可填报2个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿。高本贯通院校，文史类、理工类考生可填报8个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿。高本贯通院校，艺术类考生可填报2个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿。提前录取的专科（高职）公安院校、艺术类及其它院校，考生可填报3个院校志愿，每一个院校可填报6个专业志愿和“是否同意专业调剂”志愿。第二批C类院校投档录取结束后方进行高本贯通院校、提前录取的专科（高职）院校投档录取。三、填报条件凡参加2021年全国普通高校招生考试、当前未被录取的考生，均可填报。院校的招生计划、收费标准、专业要求等以我省《2021年填报志愿指南》及院校《招生章程》为准。填报院校志愿时不设分数限制，志愿填报结束后，根据考生志愿填报情况和招生计划数划定录取最低控制分数线，并及时向社会公布。四、登录方式考生登录网上填报志愿系统的方式：通过山西招生考试网http://www.sxkszx.cn主页上“考生登录”菜单中的“2021年普通高考考生网上服务平台”进入，或者通过公告中的链接进行登录。五、考生注意事项1.因二本A类、B类部分院校还未录取结束，在二本C类院校填报志愿期间，如有二本A类、B类院校征集志愿，凡符合条件未被录取的考生在填报二本C类院校志愿的同时，也可填报二本A类、B类院校征集志愿。二本A类、B类院校征集志愿录取结束后进行二本C类院校投档录取。2.考生要遵守网上填报志愿的有关规定，一是要严格按照网上填报志愿流程在规定的时间上网填报志愿，不要错过志愿填报时间。二是要妥善设置和保管个人密码，以免因密码外泄导致志愿信息被非法篡改。若因自身保管不慎而泄露密码，所造成的不良后果均由考生本人承担。三是考生务必亲自填报，不得让他人代填，要按志愿填报系统的要求认真填写并核对志愿信息。四是尽早确定志愿和完成网上填报志愿操作，避免因网络访问量增大导致网络出现不流畅、运行缓慢、拥塞等问题而影响顺利提交志愿，甚至偶遇当地突发停电、网络故障等不可预知的情况，给自己造成无法按时提交网上填报志愿的严重后果。
山西：2021年全国普通高校招生《填报志愿指南》更正说明,2021年普通高校招生《填报志愿指南》下发后，个别院校来函要求补充或更正部分内容，望考生周知。
四川：录取到哪个专业？录取规则说了算,目前2021年高考已进入普通高考本科二批次录取中，不少考生已经收到了前面批次录取大学的通知书，或者已经查询到了自己的录取结果。对于被录取的同学来说，除了关注自己被录取到哪所大学外，被录取的专业也是关注重点。那么，当考生的电子档案投进高校后，是如何被录取到某个专业的呢？据录取场相关负责人介绍，考生能否被录取以及最终被录取到哪个专业，与高校在《招生章程》中公布的专业录取规则息息相关。通常来讲，高校遵循的专业录取规则有三种：分数优先（分数清）、专业优先（专业清）、专业级差。录取规则不同，考生专业录取结果也不一样。分数优先 （分数清）：优先检索已投档位次在前考生的专业志愿分数优先专业录取规则，即高校在安排我省已投档考生专业时，按文理科类分别对进档考生按照分数从高到低进行排序，位次在前的考生所填报的专业将优先被检索。例如，今年我省有甲（630分）、乙（615分）、丙（620分）、丁（625分）四位理科考生满足A院校的提档要求，档案同时被投递进A院校。按照分数优先的录取规则，在分配专业时，A院校会先对四位考生按分数从高到底排序，位次结果依次为：甲第一、丁第二、丙第三、乙第四。那么，甲填报的专业则享有优先被检索的权利。此时，系统会依次检索甲填报的第一专业志愿、第二专业志愿……以此类推，当检索到某个符合录取条件的专业时，则录取。当所有专业都不符合录取条件，甲如不服从专业调剂，则作退档处理；如服从专业调剂，则会将其档案暂时搁置，等待在调剂环节统一安排专业。随后，高校再依次检索排序在后的丁、丙和乙的专业志愿。等高校按录取规则检索并对符合专业录取条件的考生录取完成后，此时如果还有未录取满额的专业，高校就会把未录取且服从专业调配的考生，再次从高分到低分进行排序，调剂到符合录取条件的未录取满额专业中。专业优先 （专业清）：优先满足已投档考生的第一专业志愿遵循专业优先这一录取规则的高校，会首先分别按文理科对所有进档考生按照其填报的第一专业志愿分成不同的专业队列，每个专业队列按分数从高到低排序。高校在安排专业时，针对每个专业按分数从高到低依次检索，直到该专业录取满额为止。当所有考生的第一专业志愿都检索完毕后，如果还有未录取满额的专业，此时会将未录取考生根据其第二专业志愿再分成不同的队列，每个专业队列按照分数从高到低再排序并依次检索录取，录满为止。依次类推。如上例中甲、乙、丙三位考生档案同时被投进B院校，其中，甲和乙第一志愿都填报的物理学专业，丙第二志愿填报的物理学专业，如果物理学专业仅有2个招生计划，那么，B院校在安排专业时，甲和乙则优先被物理学专业录取。虽然丙的分数高于乙的分数，但按照专业优先录取规则，丙也不会被物理学专业录取。专业级差：同一考生专业志愿间实行减分动态排序专业级差录取规则，即高校对进档考生安排专业时，对考生填报的各专业志愿之间设置一定的专业级差分，如果第一专业志愿未被录取，在对该考生第二专业志愿进行录取时，需要减去一定的级差分，按照重新得到的分数和其他第一志愿填报了该专业的考生重新排队，按照分数从高到低的顺序依次检索录取。例如某高校对第一到第六专业志愿采用3-2-1-0-0的专业级差，对前例中甲、乙、丙三位进档考生安排专业时，首先按照分数从高到低的顺序对三位同学进行排序，依次为甲、丙、乙。系统首先检索甲的志愿，当其第一专业志愿符合录取条件时，则录取；当其第一专业志愿未被录取，在检索其第二专业志愿时，总分（630分）需要减去级差分（3分），变为627分。此时，甲以627分的成绩与第一专业志愿报考了该专业的考生一同排队进行检索。当高校检索到627分的时候，此时如果还有计划空额，则被录取。如果甲仍未被录取，则总分（627分）再减去级差分（2分），以625分参与第三专业志愿的排队，与第一专业志愿填报了该专业的考生一同检索录取。依次类推。通过上述分析，想必各位考生对自己是如何被录取到某一专业的规则已经比较清楚。最后，希望每位考生都能录其所愿，迈入人生发展新阶段。
上海：2021年普通高校招生专科阶段志愿填报及录取问答,1.本市普通高校招生录取工作进展情况如何？本市高招录取工作自6月24日启动，至8月1日已顺利完成本科各招生批次的录取工作，即将进入专科录取阶段。2.哪些考生可以填报专科志愿？如何填报？高考语文、数学、外语三门科目成绩总和达到100分且在本科普通批次录取结束后仍未被录取的考生均可填报专科相应批次志愿。截至目前，有4802名考生可以填报专科志愿，其中300分及以上考生有109人。多年志愿填报结果显示，300分以上仅有个位数考生会选择填报专科志愿。8月3日至4日，本市应届高中毕业生由学籍所在中学统一安排填报；非本市应届高中毕业生由报名所在区招办统一安排填报。具体时段以各区、各校安排为准。3.专科阶段的高考文化成绩如何构成？专科阶段以院校（类别）为志愿填报和投档录取的基本单位，录取时以考生统一高考的语文、数学、外语三门科目成绩总和（满分450分）为基本依据。4.专科阶段设置哪些招生批次？分别可填报多少个院校志愿？专科阶段设置专科提前批次、专科艺体类批次和专科普通批次。专科提前批次设置2个顺序志愿，专科艺体类批次设置8个平行志愿，专科普通批次设置8个平行志愿。其中专科提前批次和艺体类批次志愿不得兼报；填报专科艺体类批次志愿的考生高考文化成绩须达到100分且专业统考或校考成绩合格。5.今年专科阶段的招生计划情况如何？专科提前批次有6所院校参与招生，招生计划为244个，其中本市院校5所，招生计划为214个；外省市院校1所，招生计划为30个。专科艺体类批次有28所院校参与招生（按类别分成46个），招生计划为716个，其中本市院校19所（按类别分成32个），招生计划为653个；外省市院校9所（按类别分成14个），招生计划为63个。专科普通批次共有92所院校参与招生，招生计划为3955个，其中本市院校33所，招生计划为3462个；外省市院校59所，招生计划为493个。6.院校（类别）志愿中的专业志愿如何填报？考生在一个院校（类别）志愿内最多可选择填报6个专业志愿。若该院校下设的专业数不足6个，考生可按实选择，填完即止。如果考生在某个院校（类别）志愿中喜欢的专业数超过6个，不能直接反映在志愿表中，只能依自己喜欢程度排序填报前6位的专业，其他专业的选择意愿可以通过“愿否专业调剂”选项表达。“愿否专业调剂”选项可选代码有“1、2、3、4”四个数字。其中，“1”表示全愿意调剂;“2”表示全不愿意调剂;“3”表示除高收费专业外愿意调剂;“4”表示除医科专业外愿意调剂。需要提醒考生的是，在专科艺体类批次、专科普通批次志愿填报时，鉴于平行志愿的录取规则，为降低退档风险，建议考生选择“1”。7.考生在填报专科志愿时，需注意些什么?考生在填报志愿时，须注意以下问题：（1）专科提前批次按顺序志愿方式投档，考生在填报时要特别重视按本人实际情况选择第一志愿；专科艺体类批次、专科普通批次按平行志愿方式投档，考生应在符合本人兴趣的前提下，适度拉开分差填报院校志愿，并尽可能选择“服从专业调剂”。（2）专科提前批次中部分院校前期需面试或体检，部分院校还设有色觉异常或单科成绩限报要求。前期未通过面试、体检或不符合条件的考生不要填报相关志愿。（3）报考专科艺体类批次志愿的考生须专业统考或校考成绩合格。考生可在美术与设计学类、编导类、表演类、播音与主持艺术类、音乐学类（音乐表演—声乐）和音乐学类（音乐表演—器乐）、体育类中任选一种统考类别进行志愿填报。（4）要看清院校招生专业要求，有部分院校不招收色盲、色弱考生，少数院校有单科成绩要求或户籍、性别、身高、视力、听力、外语语种等限制要求，考生要认真比对自身情况，不要填报不符合专业要求的志愿。（5）统筹考虑所有批次志愿填报。即使比较有把握在专科提前批次或专科艺体类批次被录取的考生也不要放弃填报专科普通批次志愿。（6）考生在填报志愿前务必参考《2021年上海市普通高等学校招生专业目录》《2019-2020年上海市普通高等学校招生各专业录取人数及考分》和“2021年上海市普通高校招生可参加高职（专科）志愿填报考生‘语、数、外’三门成绩分布表”等信息，还可通过院校招生网站查询院校招生章程，或通过招生院校电话，了解具体要求，填报适合自己的院校和专业。8.艺体类专业考试达到专业合格线，就一定要填报艺体类专业志愿吗?不一定。艺体类专业考试达到专业合格线，可以选择不填报专科艺体类志愿而填报专科提前批次或专科普通批次专业志愿，也可以选择同时填报专科艺体类批次和专科普通批次志愿。9.专科阶段录取进程如何安排？10.专科各批次的投档比例是多少?专科提前批次原则上按1:1.2比例投档，已有专门规定的按规定比例投档。专科艺体类批次中，根据考生高考成绩和专业统考成绩折算后产生的投档成绩先进行模拟投档，再根据实到院校计划数，按1:1比例正式投档。专科普通批次先进行模拟投档，再根据实到院校计划数，按1:1比例正式投档。11.专科阶段投档时，考生的先后位序如何确定?专科普通批次投档时，根据考生的语文、数学、外语三门科目成绩总分（含公示加分）从高到低确定投档位序。专科艺体类批次投档时，根据考生高考成绩和专业统考成绩折算后产生的投档成绩从高到低确定投档位序。如有同分则按同分规则执行。12.在专科艺体类批次，考生的文化成绩和专业成绩是如何折算产生投档成绩的？美术与设计学类专科投档成绩=文化成绩*50%+专业统考成绩*450/450*50%编导类专科投档成绩=文化成绩*50%+专业成绩*450/300*50%播音与主持艺术类专科投档成绩=文化成绩*50%+专业成绩*450/400*50%表演类专科投档成绩=文化成绩*30%+专业成绩*450/500*70%音乐学类（音乐表演—声乐）专科投档成绩=文化成绩*30%+专业成绩*450/300*70%音乐学类（音乐表演—器乐）专科投档成绩=文化成绩*30%+专业成绩*450/300*70%体育类专科投档成绩=文化成绩*30%+专业成绩*450/100*70%13.专科阶段投档时，高考总分相同的考生该如何排序?（1）专科普通批次同分考生的排序规则为：第1位序，比较语文加数学两门合计成绩高低，高者优先。第2位序，比较语文或数学中单科成绩高低，高者优先。第3位序，比较考生志愿顺序，按各自顺序分别投档，志愿顺序相同的同分同位考生同时投档。（2）专科艺体类批次同分考生的排序规则为：第1位序，比较专业统考成绩，高者优先。第2位序，比较语文加数学两门合计成绩高低，高者优先。第3位序，比较语文或数学中单科成绩高低，高者优先。第4位序，比较考生志愿顺序，按各自顺序分别投档，志愿顺序相同的同分同位考生同时投档。14.被专科提前批次或艺体类批次招生高校(专业)录取了，能否放弃而参与后面批次志愿的录取?不可以。被专科提前批次或艺体类批次招生高校(专业)录取后，后面的其他批次志愿就自然失效，不能再参与后面院校志愿的投档录取。15.未被专科提前批次或艺体类批次录取，是否影响其后普通批次的投档录取？不影响。16.专科阶段设几次征求志愿?填报资格如何设定?专科提前批次、艺体类批次、普通批次均设置1次征求志愿，安排在专科普通批次录取完成之后，同时进行。所有高考文化成绩达到100分的未录取考生均有填报资格，但填报专科艺体类批次征求志愿的考生须具有专业统考或校考合格成绩。待专科普通批次平行志愿录取结束后，考生可从“上海招考热线”网站(www.shmeea.edu.cn)上查阅“征求志愿专业计划缺额表”，8月9日9:00至16:00，登录“上海招考热线”网站(www.shmeea.edu.cn)填报自己愿意去的院校与专业。专科普通批次征求志愿可填报的院校志愿数量不限，每所院校志愿最多可以填报6个专业志愿，也实行平行志愿投档模式。17.录取后，如何办理档案转递手续？2021年录取考生办理档案转递手续的时间安排在8月27日之前，具体时间以各区公布时间为准。录取考生凭高校录取通知书、本人身份证和准考证到报名所在区招考机构或毕业学校办理纸质档案的提取或转递手续（往届生到区招考机构，应届生到毕业学校）。区招考机构或毕业学校经核对无误，并经考生本人签字确认后，将密封好的纸质档案交与考生(仅限应届毕业生)，由考生本人将纸质档案在高校规定时间交至录取高校；其他考生凭区招考机构开具的调档证明至各区公共就业服务机构办理纸质档案的转递手续。纸质档案属个人重要资料，不得擅自启封、拆阅。18.考生收到录取通知书时有疑问怎么办?考生收到录取通知书以后，如果发现与本人考分、志愿不相符等问题时，首先要冷静查找自身的原因，仔细对照一下已公布的有关招生政策、招生信息、本人留底的高考志愿表、高考成绩以及自己在体格检查、思想政治品德等方面的情况，也许能找出原因；如果还有疑问，可以到自己高考报名的区招考机构去询问；如果仍然没能解决问题，可以到市教育考试院咨询接待处（杨浦区民星路465号）咨询。咨询接待处的同志会帮助考生了解情况、分析原因。在录取期间，考生在未收到录取通知书以前最好不要外出，以便各区招考机构、高校及时联系有关体格复查、学校面试、征求志愿等方面的事项。
上海：专科志愿将于8月3日—4日填报,2021年上海市普通高校招生专科志愿填报将于8月3日至4日进行。本市应届高中毕业生由学籍所在中学统一安排；非本市应届高中毕业生由报名所在区招办统一安排。请考生严格遵守区招办和学校的防疫要求，在规定时间内填报志愿。考生若有来自或途径国内疫情中高风险地区，或是在填报前及填报当日出现体温异常等情况，须主动报告区招办或学校，并根据安排完成志愿填报及确认。请考生务必仔细研读各校招生章程，根据本人实际情况在专科提前批次、艺体类批次和普通批次中充分酝酿，合理选择心仪志愿。市教育考试院提供以下信息，供考生填报参考：1.2021年专科阶段考生各类别成绩分布表（点击查看详情）2.2021年上海市普通高校招生专科阶段招生计划（点击查看详情）3.2019-2020年上海市普通高校招生专科阶段各专业录取人数及考分（点击查看详情）4.2021年上海市普通高校招生专科阶段志愿填报及录取问答（点击查看详情）
浙江：新二段线上考生24-25日填报志愿,19日上午8:30，13.7万余高考生普通类首段平行志愿依次投档，在浙招生院校专业投档分数线随后出炉。接下来，各院校陆续对投档考生电子档案进行审阅和录取。7月21日左右，有关考生可登录浙江省教育考试院网站（www.zjzs.net）或浙江考试微信公众号查询录取状态。三段改二段，两“率”创新高今年起，我省新高考招生普通类录取由三段改为二段。省教育考试院围绕做好高考志愿填报的指导服务工作，采取了一系列针对性措施，比如开设网上服务专窗、召开培训视频会、举办“云咨询周”活动、推出“百问百答”系列、制作填报指南短视频、增加系统提示界面、发送个性化提醒短信等，努力确保高考志愿填报工作平稳顺畅。首轮志愿填报和投档总体情况理想。一是志愿填报率和志愿投出率再创新高，其中新一段线上考生的志愿填报率接近99.7%，考生人均填报志愿数、填满80个志愿的考生数创历史新高，志愿投出率高出去年约3个百分点。二是考生成绩、志愿与投档结果匹配度高，广大考生能够根据自己的高考成绩和今年的录取变化，结合自身实际，理性定位，科学选报。三是各地各类高校生源分布合理均衡，高水平大学招生热度不减，普通本科高校生源丰富，优质高职高专院校广受考生青睐。了解投档去向，这样看分数线我省新高考平行录取，按“分数优先、遵循志愿”规则和招生计划1：1比例，实行专业平行志愿投档，直接投到考生所填报的具体院校具体专业。被投档到某院校专业的最后一名考生分数，即为该校该专业的投档分数线，由计算机投档后自动生成。那么，考生怎样查询自己是否被投档？要根据分数线，按填报的志愿顺序，对照位次依次进行，一旦符合条件即说明已被该校该专业投档。需注意的是，高考总分相同时是依据位次、志愿顺序投档的，若考生总分上线但位次或志愿序号未达到，仍将无法被该校该专业投档。院校专业投档分数线的高低，主要由报考生源情况和具体招生计划决定。报考人数尤其是高分考生多的专业，相应投档分数线就会上升；院校专业的招生计划量增大，投档分数线则会相对下降。所以不能简单地把投档分数线与高校综合实力挂钩。比如，不少实力不菲的院校某些专业（类）招生量多达上百人，为我省考生提供了大量优质高教资源，甚至比许多院校所有专业在浙招生总量还多。新二段线上考生，24-25日填报志愿根据今年我省高考录取进程，本轮退档录检结束后，剩余下来的所有招生计划，将于7月22日上午统一在浙江省教育考试院网站公布。我省新高考招生实行专业平行志愿，有效地减缓了志愿填报风险，但退档风险依然存在。若某些考生的身体条件、单科成绩等不符合专业要求，即使投档后还是有可能被高校退档。平行志愿每轮一次投档机会，一旦被投档，其余志愿同步失效；若投档后被退档，同一段的其他志愿也不能再投，只能参加后续志愿填报。新二段线上考生将于7月24-25日填报平行志愿。在接下来几天的“等待期”，新二段线上考生可以做一些准备工作，比如登录浙江省教育考试院网站（www.zjzs.net）“高考志愿填报服务专窗”查询有关招生政策及往年填报志愿参考数据，或者查阅心仪学校的招生章程，了解学校招生要求，确保正式填报志愿时胸有成竹。
提醒 | 交30万能补录好大学？别信！,以帮忙找关系上大学为幌子，骗取高考学子家长30万元。近日，王某因涉嫌诈骗罪被福建省漳州市龙海区检察院批准逮捕。2020年8月，因女儿高考成绩不理想，黄先生担心女儿考不上好大学。偶然间黄先生通过朋友介绍认识了王某。被外债缠身的王某谎称自己有关系可以帮黄先生女儿补录上理想的大学，但需要一些“手续费”。经过协商，黄先生同意付给王某30万元，让其帮自己女儿补录上某大学。同年9月5日，黄先生通过银行卡转账30万元给王某，王某提供收据并承诺如果入不了学将全款退回，后将款项用于偿还个人欠款。久未等到录取通知书的黄先生要求退款，王某多次以学校处理中等借口拖延，直到无法圆谎将黄先生拉黑。后黄先生报警案发，王某被抓获归案。检察官提醒广大考生，高考后按照考录安排填报志愿，录取结果以官方公布的通知为准，切勿给骗子可乘之机。
