新闻标题,新闻内容
中国人民大学本科招生章程（2021年实行）,"第一章 总则
     第一条 为保证学校本科生招生工作顺利进行，切实维护学校和考生的合法权益，根据《中华人民共和国教育法》《中华人民共和国高等教育法》等相关法律、教育部有关规定和《中国人民大学章程》，结合我校实际情况，制定本章程。
    第二条 我校全称为中国人民大学，是国家公办、全日制普通高等学校，是教育部直属的综合性、研究型全国重点大学，2017年首批入选国家“世界一流大学和一流学科”建设名单，注册地址为北京市海淀区中关村大街59号，邮编100872。
    第三条 我校中法学院是经教育部批准，由我校与法国索邦大学、保罗-瓦莱里大学、KEDGE商学院共建的中外合作办学机构，是隶属于我校的非独立法人办学单位，按照单独学校代码（中国人民大学苏州校区）招生，办学地点在我校苏州校区，地址为江苏省苏州市仁爱路158号，邮编215123。
    第四条 我校凭借鲜明独特的专业优势、雄厚的教学科研实力，培养包括普通本科生、硕士和博士研究生、成人教育本科生及各层次的国际学生等在内的各类人才。校本部和中法学院培养的本科生，毕业时所颁发学历证书的学校名称均为中国人民大学，证书种类均为普通高等教育毕业证书。
第二章 组织机构
    第五条 招生工作领导小组为本科生招生工作的决策机构，统一领导学校本科生招生工作；本科生招生工作小组为招生工作领导小组下设机构；招生就业处为学校本科生招生工作的执行机构；本科生招生工作委员会为学校本科生招生工作的咨询机构。
    第六条 本科生招生工作实行上级主管部门、内部和第三方多重监督机制，在教育部、学校纪检监察部门和本科生招生社会监督委员会的监督下开展工作。
第三章 招生计划
    第七条 按照教育部分省（区、市）分专业招生计划编制和管理工作要求，我校根据各省（区、市）生源情况、经济社会发展需要、毕业生就业情况、考生对我校各专业的认可度等因素,自主、科学、合理地安排招生来源计划。
    第八条 我校本科生招生分省（区、市）分专业招生计划（含各招生专业或专业类选考科目和报考要求），由各省级招办向社会公布。
    第九条 我校根据在各省（区、市）的招生计划和生源分布情况确定调档比例，顺序志愿投档的批次原则上不超过120%，平行志愿投档的批次原则上不超过105%。
    第十条 我校预留少量计划，用于调节各地统考线上生源的不平衡。预留计划不超过招生计划总数的1%。
    第十一条 预留计划使用时，坚持规范有序、质量优先的原则。
第四章 招生类型及录取规则
    第十二条 我校普通本科层次的招生包括普通本科生和各种特殊类型招生。特殊类型招生包括强基计划、高校专项计划（圆梦计划）、保送生、高水平艺术团、高水平运动队、艺术类、内地西藏高中班、内地新疆高中班毕业生计划、新疆协作计划（民考汉）、港澳台侨生等。其中，报考强基计划、保送生、高水平艺术团、高水平运动队、艺术类（音乐表演）、香港中学文凭考试、澳门保送生、台湾高中毕业生等招生类型的考生需根据招生简章要求，参加我校组织的校考测试；高校专项计划（圆梦计划）考生需根据招生简章要求，提交报名材料。
    第十三条 我校依据《教育部关于做好2021年普通高校招生工作的通知》及《2021年普通高等学校招生工作规定》，全面贯彻实施高校招生“阳光工程”，本着公平、公正、公开的原则，综合衡量考生德智体美劳各方面素质，择优选拔人才。
    第十四条 投档时，在安排分省（区、市）招生计划的招生项目中，对教育部和各省（区、市）教育主管部门规定的全国性政策性加分，我校认可考生其中最高一项加分，且最高不超过20分。所有高考加分项目及分值均不得用于我校不安排分省招生计划的招生项目。
    第十五条 对于符合我校录取标准的考生，我校按照投档成绩排队顺序进行录取。高考改革省份投档考生须满足我校选考科目要求。投档成绩相同时，按各省（区、市）确定的同分排序细则进行录取；同分排序后仍完全相同的，我校将使用预留计划录取。
    第十六条 确定录取专业时，不设置分数级差。考生分科类（或选考科目或首选科目）按投档成绩排队，从高分到低分按照各专业招生计划录取。投档成绩相同时，按各省（区、市）确定的同分排序细则录取。
    第十七条 所填专业志愿都无法满足的考生，如果服从专业调剂，将调剂到招生计划尚未完成的专业。所填专业志愿都无法满足又不服从调剂的考生，作退档处理。
    第十八条 我校在内蒙古自治区采取分数清的录取规则。
    第十九条 按照顺序志愿投档的批次，在第一志愿考生生源不足的情况下，我校可接收非第一志愿考生。
    第二十条 我校执行教育部、卫生部、中国残疾人联合会印发的《普通高等学校招生体检工作指导意见》及有关补充规定。
    第二十一条 我校英语、俄语、日语、德语、法语、西班牙语专业只招收全国统一高考科目中外语为英语语种的考生；法语（中外合作办学）专业只招收英语或法语语种的考生。
    第二十二条 报考外语类专业的考生，如所在省级招生考试机构组织外语口试，考生须参加口试且成绩合格。外语类保送生无此项要求。
    第二十三条 特殊类型招生录取办法，按照教育部等国家相关部门的规定、我校本年度相关类型招生简章及合格生公示等规定执行。内地西藏高中班、内地新疆高中班毕业生计划、新疆协作计划（民考汉）及国家民委专项计划的编报及招生录取工作在教育部民族教育司领导下进行。
    第二十四条 我校提前批普通类专业(不含国家专项及安排在提前批录取的特殊类型招生项目)及中法学院各专业录取的新生，入学后转专业范围限定为招生专业所在学院。
    第二十五条 新生入学后，我校统一组织实施新生复查。对于复查不合格的新生，将按照有关规定进行处理，直至取消入学资格。
第五章 其他
    第二十六条 学费标准：外语类专业每学年6000元，艺术类专业每学年10000元，中法学院专业为每学年60000元，其他专业均为每学年5000元。如果国家调整本年度本科生学费收费标准，我校将按照新规定收取学费。
    第二十七条 住宿费标准：根据住宿条件的不同收取不同标准的住宿费用，一般为每学年650—1200元；中法学院学生住宿费在国内期间约为2200元/年，在法国期间按照法方高校标准执行。
    第二十八条 我校学生资助工作坚持“全方位关心、多元化资助、分层次实施、保重点对象”的工作思路，工作中助困与育人相结合，不断创新丰富资助工作形式，拓展资助渠道，整合资助资源，确保资助标准和资助对象精准，为学校家庭经济困难学生的成长成才提供全面保障。电子邮箱：zizhuban@ruc.edu.cn。
    第二十九条 阳光招生热线：400-0123-517，纪检监督举报电话：010-82509918，阳光招生信息平台网址：http://rdzs.ruc.edu.cn，电子信箱：zsb@ruc.edu.cn。各省（区、市）招生组联系方式详见阳光招生信息平台。
附 则
    第三十条 本章程通过我校阳光招生信息平台向社会发布，对于各种媒体节选公布的章程内容，如理解有误，以我校公布的完整的招生章程为准。
    第三十一条 我校以往有关招生工作的政策、规定如与本章程相冲突，以本章程为准，原政策、规定即时废止；如遇国家法律、法规、规章和上级有关政策变化，以变化后的规定为准。
    第三十二条 本章程解释权属于中国人民大学招生就业处。
    第三十三条 本章程自公布之日起施行。"
2021年各省（区、市）录取分数线,"各省（区、市）提前批录取分数线

各省（区、市）普通批（校本部）录取分数线


各省（区、市）普通批（苏州校区）录取分数线
省份类别录取分数线北京不限科目组657政治科目组666天津不限科目组698政治科目组696河北历史组647辽宁历史组655物理组673吉林普通类（文史）627普通类（理工）643黑龙江普通类（文史）637普通类（理工）640上海不限科目组568江苏历史组622浙江普通类670安徽普通类文史（外语类）657普通类文史（非外语类）660普通类理工（外语类）662福建历史+不限组633历史+政治组636物理+不限组659江西普通类（文史）650普通类（理工）652山东普通类652河南普通类（文史）658普通类（理工）665湖北历史+不限组651历史+政治组654湖南物理组657历史组636广东历史+不限组642历史+政治组646物理+不限组666重庆历史组656四川普通类（文史）632普通类（理工）673云南普通类（文史）666陕西普通类（文史）654甘肃普通类（文史）630
省份类别录取分数线北京不限科目组666物理科目组667物理或历史科目组668天津不限科目组701物理科目组703物理或历史科目组703河北（历史组）金融学类657法学657人文科学试验班655经济学类654新闻传播学类653财政学类653社会科学试验班（管理学科类）652工商管理类651人力资源管理650国际政治650河北（物理组）金融学类678法学675经济学类674财政学类673新闻传播学类669社会科学试验班（管理学科类）668工商管理类667理科试验班667人力资源管理666山西普通类（文史）640普通类（理工）650内蒙古普通类（文史）636普通类（理工）649辽宁（历史组）金融学类664法学664经济学类663新闻传播学类662工商管理类662社会科学试验班（管理学科类）660人力资源管理660国际政治660辽宁（物理组）金融学类688经济学类684工商管理类683理科试验班680吉林普通类（文史）626普通类（理工）644黑龙江普通类（文史）642普通类（理工）659上海不限科目组581物理科目组579物理或历史科目组579江苏历史+不限组629历史+政治组629物理+不限组638浙江法学690金融学类686经济学类685新闻传播学类685财政学类685人文科学试验班684社会学类683工商管理类683国际政治682人力资源管理682社会科学试验班（管理学科类）681理科试验班680安徽普通类（文史）660普通类（理工）666福建历史+不限组636历史+政治组634物理+不限组661江西普通类（文史）649普通类（理工）655山东新闻传播学类659金融学类665法学664经济学类663理科试验班660工商管理类659人力资源管理658社会科学试验班（管理学科类）657国际政治656河南普通类（文史）662普通类（理工）671湖北历史+不限组654历史+政治组654物理+不限组671湖南历史+不限组639历史+政治组642物理+不限组660广东历史+不限组647历史+政治组646物理+不限组671广西普通类（文史）652普通类（理工）649海南不限科目组794物理科目组804物理或历史科目组800重庆（历史组）金融学类667法学667经济学类666新闻传播学类666财政学类664工商管理类663社会学类661社会科学试验班（管理学科类）661人力资源管理660国际政治659重庆（物理组）法学693金融学类687经济学类686社会学类685工商管理类684理科试验班683社会科学试验班（管理学科类）682四川普通类（文史）634普通类（理工）679贵州普通类（文史）669普通类（理工）635云南普通类（文史）669普通类（理工）666西藏区内（文史）513区内（理工）528区外（文史）627区外（理工）656陕西普通类（文史）657普通类（理工）668甘肃普通类（文史）630普通类（理工）631青海普通类（文史）615普通类（理工）614宁夏普通类（文史）642普通类（理工）608新疆汉语言（文史）615汉语言（理工）626民考汉（文史）591民考汉（理工）573
省份类别录取分数线北京不限科目组629物理科目组639天津不限科目组683河北（历史组）金融学（中外合作办学）617法语（中外合作办学）615河北（物理组）金融学（中外合作办学）631山西普通类（文史）600普通类（理工）601内蒙古普通类（文史）601普通类（理工）614辽宁（历史组）金融学（中外合作办学）632法语（中外合作办学）629辽宁（物理组）金融学（中外合作办学）649国民经济管理（中外合作办学）647吉林普通类（文史）568普通类（理工）604黑龙江普通类（文史）598普通类（理工）602上海不限科目组556物理科目组561江苏历史+不限组602物理+不限组604浙江人力资源管理（中外合作办学）653数学与应用数学（中外合作办学）647金融学（中外合作办学）646国民经济管理（中外合作办学）646安徽普通类（文史）630普通类（理工）636福建历史+不限组600物理+不限组625江西普通类（文史）628普通类（理工）623山东金融学（中外合作办学）623国民经济管理（中外合作办学）621河南普通类（文史）604普通类（理工）601湖北历史+不限组617物理+不限组632湖南历史+不限组602物理+不限组623广东历史+不限组608物理+不限组629重庆（历史组）金融学（中外合作办学）637重庆（物理组）金融学（中外合作办学）652国民经济管理（中外合作办学）650四川普通类（文史）611普通类（理工）640云南普通类（文史）655普通类（理工）630陕西普通类（文史）629普通类（理工）652"
国家专项生、高校专项生看过来 | 人大2021年“与光同行，携手圆梦”助学咨询专线24日起开通！,"
对大学向往已久，
终于到了填报志愿的时刻。
怀着满心期盼的你，
是否对未来的大学学习生活
还有一丝困惑和担忧？
或许是关于专业如何选择，
或许是关于奖励资助情况，
也或许是想再多了解一些
这所大学的模样……
来自人大的学长们将通过咨询专线
 为你答疑解惑
 分享亲身体验
助你顺利升学
Tips

咨询小贴士

　（一）咨询对象
2021年国家专项计划考生及家长、高校专项计划（“圆梦计划”）校考合格生及家长。
　（二）咨询内容
“圆梦计划”志愿填报咨询，各学院和专业特色、奖励资助政策介绍，大学学业规划、校园生活体验分享等。
　（三）咨询时段
6月24日-7月3日
8:30-11:30、14:00-17:00
Call me

咨询电话一览
注意分省拨打咨询哦！

　（一）国家专项
13718723832
13718992803
　（二）高校专项（“圆梦计划”）
13718727791
河南、湖南、福建、辽宁
13720075231
四川、江西、贵州、云南、湖北
15001028375
山东、浙江、河北、安徽、陕西、
江苏、甘肃、重庆
与 光 同 行  携 手 圆 梦
薪 火 相 传  执 手 并 进
我们在人大等你来！

"
中国人民大学2021年艺术类咨询热线开通公告,"各位考生：
我校即将开通2021年艺术类咨询热线。自6月18日、6月21日起至志愿填报结束，考生可于每日8:30-11:30、14:30-17:00直接拨打生源省份咨询专线。
类型
生源省份
咨询电话
艺术类（音乐表演）
全国（仅2021年校考合格生）
艺术类（美术）
13060914148
广西、黑龙江、广东、重庆、
陕西、青海
15001032267
艺术类（美术）考生电话咨询前，请扫描下方二维码，认真填写个人信息（此信息仅用作招生咨询使用，不对外公开）。
中国人民大学本科生招生办公室
2021年6月      

类型生源省份咨询电话艺术类（音乐表演）全国（仅2021年校考合格生）1301182157513260489299艺术类（美术）北京、吉林13021975636河北、湖南、浙江15001310851山东、辽宁、江苏15010093753四川、湖北、天津13060914148广西、黑龙江、广东、重庆、陕西、青海15001032267"
中国人民大学2021年线上招生咨询方式发布啦！  ,"各位高三学子在紧张备考的同时，或许还有对专业选择的迷惘，抑或对理想大学深入了解的强烈企盼。为了能及时提供最权威的招考政策解读，最系统的学科专业介绍，中国人民大学本科招办和各地招生组将通过QQ群、微信、电话和官方网站等方式，为广大考生及家长答疑解惑。
方式一：联系本科招办
1. 关注“人大阳光招生”微信公众号（搜索rdygzs关注），在输入栏直接留言进行咨询。咨询时间为周一至周五上午8:30-11:30，下午14:30-17:00。
2.发送电子邮件进行咨询，邮箱地址：zsb@ruc.edu.cn。
注：港澳台地区考生、艺术类（美术、音乐表演）/高水平艺术团/高水平运动队等特殊类型考生，建议咨询本科招办。
方式二：联系人大各省（区、市）招生组
北京
微信号：ruc_gyd
QQ号：3023160745
天津
QQ群：879737024
河北
QQ群：549376423
咨询时间：每周六下午14:30-17:00
山西
QQ群：1094284815（太原）
670542165（太原以外地区）
咨询时间：每周六下午14:30-17:00
辽宁
QQ群：463137296
咨询时间：每周六下午14:30-17:00
吉林
人大文科专线1：13141357964
人大理科专线1：15712830042
微信号同手机号
咨询时间：每周六下午14:30-17:00
黑龙江
本科招办咨询系统：
http://join.ruc.edu.cn
中国人民大学黑龙江招生组
考生分数情况调研
咨询时间：每周六下午14:30-17:00
上海
微信号：QQ群（二维码）
咨询时间：每周六下午14:30-17:00
江苏
本科招办咨询系统：
http://join.ruc.edu.cn

咨询时间：每周六下午14:30-17:00

浙江
微信号：18500611733
咨询时间：每周一、周四、周六下午14:00-17:00
安徽
本科招办咨询系统：
http://join.ruc.edu.cn
咨询时间：每周六下午14:30-17:00
福建
QQ群：745693956
咨询时间：每周六下午14:30-17:00
江西
本科招办咨询系统：
http://join.ruc.edu.cn
咨询时间：每周六下午14:30-17:00
山东
QQ群：263264590
河南
QQ群：745542346
咨询时间：每天下午14:00-17:00
湖北
QQ群：859886439
咨询时间：每周六下午14:30-17:00
湖南
QQ群：
949067435（人大·长沙（湖南））
383844750（人大·中法学院苏州校区）
486983747（人大·湘潭-娄底）
943114353（人大·衡阳-郴州）
961201227（人大·常德-益阳）
960296152（人大·湘西-怀化-张家界）
956835341（人大·永州-邵阳）
854563645（人大·株洲-岳阳）
咨询时间：每周六下午14:30-17:00
广东
微信号：18511861820
QQ群：16506361
咨询时间：每周六下午14:30-17:00
广西
咨询电话/微信号：18310838610
咨询时间：每周六晚19:30-22:00
海南
本科招办咨询系统：
http://join.ruc.edu.cn
重庆
QQ群：991301209
咨询时间：每周六下午14:30-17:00
四川
QQ群：306569043
咨询时间：每晚21:00-22:00；每周六下午14:30-17:00
贵州
QQ群：884014703（贵阳）；
1092845509（遵义）；
812951961（凯里）；
979938222（铜仁）；
648191323（兴义）；
979784141（其他地区）
咨询时间：每周六下午14:30-17:00
云南
本科招办咨询系统：
http://join.ruc.edu.cn
QQ群：725409995（二维码）
微信群（二维码）
        
QQ群联系方式                      微信群联系方式
陕西
QQ群：875175902
微信群：

甘肃
QQ群：530487874
咨询时间：每周六下午14:30-17:00
宁夏
本科招办咨询系统：
http://join.ruc.edu.cn
咨询时间：每周六下午14:30-17:00
新疆
QQ群：772061156
新疆拟报考人大生源信息登记二维码
咨询时间：每周六下午15:00-17:00
内蒙古
QQ群：1055710199
咨询时间：每周六下午14:30-17:00
青海、西藏
QQ群：873741264
咨询时间：每周六下午14:30-17:00
备注
部分省市招生组未提供固定咨询时间段，考生家长所提问题将由专人负责，并及时回复。

 
持续关注

各省市招生组线下咨询安排
将在六月中下旬通过
“人大阳光招生”微信公众号及
中国人民大学阳光招生信息平台
及时公布
请考生家长持续关注"
中国人民大学关于2021年艺术类（音乐表演）视频提交相关功能调整的重要通知,"各位考生：
根据我校2021年艺术类（音乐表演）专业招生简章，报名考生须在规定时间内通过学信网在线考试系统（https://bm.chsi.com.cn/）实时录制并提交视频。
目前，因学信网在线考试系统升级调整，电脑网页端录制功能已取消，考生须使用手机登录学信网APP进行在线视频录制。
我校视频提交入口将于3月5日12:00开放，请考生使用手机下载最新版学信网APP进行考试（可使用手机网页浏览器访问https://www.chsi.com.cn/wap/download.jsp进行下载，或在已下载的APP中“我的->设置->关于->检测更新”进行更新）。
特别提醒：考试前，请确认手机电量和储存空间充足。在视频未上传完成前请勿卸载学信网APP，请勿清除学信网APP数据及其缓存数据。关闭外放音乐、闹钟、录屏等可能导致录制失败的应用程序和应用通知功能。考试中，请保持屏幕常亮（切勿手动锁屏）且学信网APP在前台运行，勿接听语音和视频通话。
附件：1.学信网在线考试系统操作流程示例视频（点击查看）。本视频仅用于帮助考生理解操作流程，不代表任何实际情况，实际使用教程以系统内考生操作手册为准。
2.《中国人民大学2021年艺术类（音乐表演）专业招生简章》（含《视频录制及专业测试曲目要求》《2021年艺术类（音乐表演）专业本科招生答考生问》）（点击查看）。
 
                                           中国人民大学本科生招生办公室
                                        2021年3月4日
"
中国人民大学2021年强基计划录取结果开放查询,"各位考生：
   我校2021年强基计划录取结果现已确定，参加校测的考生可通过阳光高考平台强基计划报名系统查看（https://bm.chsi.com.cn/jcxkzs/sch/10002）。
   如有疑问可与我办联系，电话：400-0123-517，邮箱：zsb@ruc.edu.cn

中国人民大学本科生招生办公室
2021年7月4日 
附件：   
中国人民大学2021年强基计划分省拟录名单综合成绩分数线
辽宁
                注：综合成绩=0.85×高考成绩（不含加分）+0.15×(校考成绩/校考满分)×高考满分；
                   校考成绩=0.6×(笔试成绩/笔试满分)×100+0.4×(面试成绩/面试满分)×100；
                   校考满分为100分，笔试满分为120分，面试满分为100分。
省市名称拟录名单综合成绩分数线文史历史组综合改革北京630.23天津666.64河北621.46山西612.49辽宁630.42吉林602.96黑龙江601.96上海550.54江苏598.34浙江648.26安徽632.68福建602.6江西628.94山东627.36河南630.97湖北614.04湖南614.78广东617重庆630.93四川605.41云南636.96陕西620.96"
中国人民大学2021年艺术类招生专业与省级统考子科类对照表,"  根据教育部相关文件规定，经各省级招生考试机构审核通过，现发布我校2021年艺术类招生专业与省级统考子科类对照表。考生所报专业属省统考专业范围内的，须参加省统考且合格。
  注：1.我校艺术类专业各省招生计划和招生方向以后期发布的2021年招生简章为准，请考生关注我校阳光招生信息平台（http://rdzs.ruc.edu.cn）。 
      2.报考音乐表演器乐类的考生，须参加对应器乐小项的省统考。
   
  （点击下方附件，查看对照表）
 "
中国人民大学关于提醒特殊类型考生遵守疫情防控要求的公告,"为深化落实教育部办公厅、国家卫生健康委办公厅《新冠肺炎疫情防控常态化下国家教育考试组考防疫工作指导意见》（教学厅〔2020〕8号）文件精神和北京市疫情防控有关要求，切实保障广大考生和考试工作人员的生命安全和身体健康，确保我校招生考试相关工作安全有序组织，特提醒拟报考我校2021年外语类保送、高水平运动队等类型的考生：
1.请密切关注并严格遵守所在省（区、市）及北京市的各项疫情防控要求，自觉配合疫情防控排查检查。为最大限度保证考生身体健康，减少人员流动，建议考生本人自行到考点参加考试，陪同人员不得进入考点。
2.请从即日起至考试前，连续14天以上，持续进行每日体温检测和身体健康状况监测，填写《中国人民大学2021年特殊类型考生健康监测登记表》（详见附件）。
3.即日起至考试结束前，请严格遵守防疫规定，尽量减少外出，避免前往人员密集场所，科学佩戴口罩，保持良好生活习惯。乘坐公共交通工具时全程佩戴口罩，保持安全距离，离开交通工具后及时进行个人消毒。
4.进入考点前，请佩戴口罩，出示“北京健康宝”绿码，配合现场测量体温。进入考点及提交材料的具体方式以考生所报考的具体特殊类型招生简章和测试指南为准。如因疫情防控要求有其他调整，将另行通知。
                       中国人民大学本科生招生办公室
                                           2020年12月14日
"
2020年艺术类（音乐表演）专业校考答考生问（4月17日更新）,"    针对近期部分考生及家长因网络、音画质量以及不熟悉新系统平台等问题表示的担忧，我校现对视频录制和提交环节作如下说明：
   1.初试考核入口：须提交在线录制视频1个，在线填写所有实际演奏（唱）曲目名称，同步离线录制视频1个；
   2.复试考核入口：须提交在线录制视频1个，在线填写所有实际演奏（唱）曲目名称，同步离线录制视频1个；
   3.视唱环节考核入口：须提交在线录制视频1个，同步离线录制视频1个。
   离线录制视频请使用线下设备录制，务必与在线录制视频全程保持同场同步进行，录制要求以《中国人民大学关于调整2020年艺术类（音乐表演）专业招生校考方案的公告》中相应内容为准。离线录制视频作为附件上传，大小不超过2G。
   评分将以离线录制视频为依据，请注意保证音画质量。在线录制视频将作为评判离线录制视频录制过程是否符合考核要求的重要资料。
   点击查看学信网“艺术类招生作品远程提交系统”操作流程示例视频。本视频仅用于帮助考生理解操作流程，不代表任何实际情况。
问题1：在学校开通实时录制和提交作品前，我可以做什么？
答：目前，考生可按照学信网“艺术类招生作品远程提交系统”要求，注册学信网账号，并按照附件《视频录制及专业测试曲目要求》勤加练习，等待系统开通。请考生留意短信通知，并关注人大阳光招生信息平台（http://rdzs.ruc.edu.cn）。
问题2：报名系统内上传的报名表未签字盖章，会不会影响考核结果？
答：目前不会影响，但考生应在中学开学后、高考前，将签字盖章的报名表（扫描版或照片，清晰可见）发送到本科生招生办公室电子邮箱（zsb@ruc.edu.cn,邮件主题：艺术类补交报名表）。如因迟发影响录取，后果由考生自负。
问题3：考生所在地省级招生考试机构有所报专业省统考，但因疫情推迟举行，会不会影响考核结果？
答：目前不会影响，但省统考举行后，考生须参加省统考且成绩合格。
问题4：我在报名系统上提交了专业测试初复试曲目，现在想要修改怎么办？
答：考生无须在报名系统中修改专业测试初复试曲目，最终曲目以学信网“艺术类招生作品远程提交系统”中填写的曲目为准。
问题5：录制视频时可否带妆？
答：学信网“艺术类招生作品远程提交系统”采用实人验证登录，考生可适当着妆，请勿着重妆，以免影响验证。
问题6：线上实时录制过程中，如果临时断网或设备故障怎么办？我很担心自己不会使用，怎么办？
答：学校将在系统中设置排练环节，方便考生提前熟悉系统操作；录制时有多次机会，考生可回看后提交其中一次。具体操作指引请考生以实际系统提示为准。
问题7：我能获得的设备/网络环境无法满足实时录制需要，怎么办？
答：考生可将个人信息（含姓名、身份证号、手机号、报考专业、家庭住址、身份证正反面复印件）及网上提供作品所遇实际困难情况通过电邮于4月11日前反馈我校（zsb@ruc.edu.cn）。我校将根据考生申请，协调生源所在省级招生考试机构提供免费录制视频服务。
问题8：我还需要在学信网上再次报考人民大学么？如何登录学信网“艺术类招生作品远程提交系统”提交视频？
答：不需要。我校艺术类(音乐表演)已于2月19日截止报名;上传申请表并缴费的考生已完成报考，等系统开通后,即可使用学信网账号直接登录系统，进行后续视频考核流程。
问题9：我可以提前录制好视频上传么？
答：不可以；我校艺术类（音乐表演）专业校考调整方案要求考生使用学信网“艺术类招生作品远程提交系统”在线实时录制视频，请考生注意保持网络畅通。
问题10：我可以使用麦克风/耳机么？
答：考生可以使用麦克风、耳机等外接设备进行扩音或收音，减少外部环境的影响，但注意不要造成音质失真。
问题11：我上传初试视频后，什么时候能知道初试结果呢？初试通过后，什么时间上传复试视频呢？
答：考生应于4月15日中午12:00至20日中午12:00上传专业视频，专业视频包括初试视频和复试视频；4月18日中午12:00至20日中午12:00上传视唱视频。学校将组织评委先对初试视频评分；确定初试通过名单后，评委再对名单内考生的复试视频及视唱视频评分。
问题12：考生离录制设备较远，系统内的视唱试题看不清怎么办？
答：考生可提前在排练环节，将视唱试题下载后打印或用其它电子设备拍照，在录制时手持纸质试题或电子设备边阅题边录制。
问题13：使用电脑还是手机进行录制比较好？
答：为保证视频作品能够正常提交，推荐使用笔记本电脑（可使用自带摄像头或外接摄像头）进行考试，并安装最新版Chrome浏览器。IOS 用户请使用 Safari 最新版浏览器；安卓用户请使用 Chrome 最新版浏览器。对于计划使用移动端设备的考生，要提前进入系统，点击“音视频调试”，确认回看调试录制的音视频播放均正常，否则请提前换用其他设备。
问题14：使用系统时，要注意的事项有哪些？
答：正式考试前，请务必进行设备调试，确保视频能够录制及正常回看（声音、画面均正常）。考试录制时需保证录制设备电量充足，建议连接稳定的网络，关闭通话和应用通知功能。录制后生成回看视频的时间较长（5-20分钟），可以稍后再登录查看。视频的排练和提交可以分多个时段进行，在遇到网络临时故障时，可以稍作等待后再次尝试。
注：为了更好地服务考生，本问答将视咨询情况不断更新，敬请关注。
"
